iter	Logloss
0	0.664156129
1	0.6401723676
2	0.6185092389
3	0.5986686614
4	0.5830446112
5	0.5668800933
6	0.5531757957
7	0.5414484826
8	0.5310396849
9	0.5217174828
10	0.5125745147
11	0.5046118096
12	0.4990102088
13	0.4935037269
14	0.4888021149
15	0.4838055127
16	0.4789028587
17	0.4749594527
18	0.4718488914
19	0.4690739972
20	0.4663223997
21	0.4633830424
22	0.4609023111
23	0.4588034721
24	0.4572265284
25	0.4554014811
26	0.4537621527
27	0.4519436281
28	0.4502723159
29	0.4489866297
30	0.447653867
31	0.4466616081
32	0.4455041125
33	0.444812097
34	0.4439544446
35	0.4431316947
36	0.4424875723
37	0.4419012873
38	0.4413250202
39	0.4408053879
40	0.4403758376
41	0.4396813839
42	0.4391129479
43	0.4387667604
44	0.4383886374
45	0.4378782186
46	0.4374728783
47	0.4371092033
48	0.4368635497
49	0.4365609115
50	0.4359703389
51	0.4356709044
52	0.4353991295
53	0.4349236541
54	0.4347185746
55	0.4342115165
56	0.4338600233
57	0.4334575755
58	0.4332083945
59	0.4328674872
60	0.4324437157
61	0.4322034189
62	0.4319345534
63	0.4317671336
64	0.4314377622
65	0.43110607
66	0.4309254201
67	0.4305682205
68	0.4304177388
69	0.4302692801
70	0.4301014987
71	0.4298504132
72	0.4297716651
73	0.4294929746
74	0.4292926952
75	0.4291827223
76	0.4289435186
77	0.4286962552
78	0.4285193749
79	0.428267393
80	0.4281647752
81	0.4280143511
82	0.4278486001
83	0.4277499759
84	0.4276595348
85	0.427498426
86	0.427340423
87	0.4272702426
88	0.4270893749
89	0.4269841138
90	0.4268806645
91	0.4268031514
92	0.4267008
93	0.4266333581
94	0.4264622487
95	0.4262783736
96	0.4262145496
97	0.4260504892
98	0.4259816295
99	0.4258075441
100	0.4256971745
101	0.425588408
102	0.4255022865
103	0.4254271469
104	0.4253296306
105	0.4252585562
106	0.4251020821
107	0.4249911608
108	0.4248555247
109	0.42472938
110	0.4246346126
111	0.4245586741
112	0.4244560654
113	0.4244036007
114	0.4243465856
115	0.4242708879
116	0.4242098109
