iter	Passed	Remaining
302	32700	75221
303	32800	75095
304	32907	74986
305	33027	74905
306	33145	74821
307	33241	74685
308	33355	74590
309	33462	74481
310	33568	74368
311	33705	74325
312	33815	74220
313	33922	74110
314	34050	74047
315	34167	73958
316	34286	73872
317	34401	73780
318	34512	73676
319	34609	73544
320	34700	73400
321	34817	73311
322	34925	73203
323	35027	73081
324	35124	72950
325	35237	72851
326	35346	72746
327	35429	72588
328	35573	72551
329	35692	72467
330	35805	72367
331	35905	72243
332	36027	72164
333	36127	72038
334	36233	71925
335	36343	71822
336	36465	71740
337	36567	71619
338	36695	71550
339	36766	71369
340	36852	71219
341	36968	71126
342	37093	71050
343	37204	70947
344	37308	70831
345	37416	70724
346	37518	70604
347	37638	70517
348	37735	70389
349	37838	70270
350	37933	70139
351	38035	70019
352	38142	69909
353	38241	69784
354	38303	69593
355	38410	69484
356	38515	69371
357	38622	69260
358	38730	69154
359	38823	69018
360	38937	68922
361	39046	68816
362	39151	68704
363	39278	68629
364	39394	68535
365	39504	68431
366	39620	68336
367	39725	68223
368	39834	68118
369	39940	68006
370	40041	67886
371	40155	67788
372	40267	67688
373	40384	67595
374	40466	67443
375	40574	67337
376	40701	67259
377	40818	67167
378	40921	67050
379	41018	66924
380	41128	66820
381	41240	66719
382	41352	66616
383	41452	66496
384	41550	66372
385	41640	66236
386	41745	66124
387	41853	66016
388	41980	65939
389	42086	65828
390	42196	65723
391	42331	65657
392	42438	65547
393	42545	65437
394	42647	65321
395	42768	65232
396	42874	65122
397	42976	65005
398	43090	64906
399	43197	64796
400	43313	64700
401	43428	64602
402	43531	64487
403	43634	64371
404	43742	64263
405	43838	64138
406	43958	64047
407	44062	63934
408	44169	63824
409	44291	63737
410	44415	63651
411	44531	63555
412	44652	63465
413	44737	63324
414	44856	63231
415	44979	63144
416	45089	63038
417	45225	62969
418	45329	62854
419	45436	62746
420	45552	62648
421	45660	62539
422	45769	62432
423	45867	62309
424	45990	62222
425	46115	62136
426	46228	62034
427	46337	61927
428	46445	61819
429	46549	61705
430	46655	61593
431	46763	61485
432	46867	61371
433	46981	61271
434	47096	61171
435	47190	61044
436	47290	60926
437	47391	60807
438	47499	60700
439	47601	60583
440	47720	60489
441	47828	60380
442	47944	60282
443	48040	60158
444	48144	60045
445	48232	59912
446	48329	59790
447	48446	59692
448	48561	59593
449	48655	59467
450	48771	59369
451	48875	59255
452	48983	59147
453	49090	59038
454	49212	58946
455	49311	58827
456	49425	58726
457	49527	58610
458	49631	58498
459	49729	58377
460	49857	58293
461	49967	58187
462	50078	58082
463	50183	57970
464	50299	57871
465	50430	57789
466	50540	57683
467	50663	57591
468	50767	57478
469	50874	57369
470	50993	57272
471	51109	57173
472	51205	57051
473	51310	56939
474	51404	56815
475	51518	56713
476	51636	56616
477	51744	56508
478	51846	56392
479	51963	56293
480	52080	56195
481	52183	56080
482	52289	55970
483	52399	55863
484	52502	55749
485	52608	55638
486	52708	55522
487	52810	55407
488	52915	55296
489	53035	55200
490	53147	55095
491	53272	55005
492	53388	54904
493	53502	54801
494	53606	54689
495	53719	54586
496	53810	54459
497	53927	54360
498	54030	54246
499	54151	54151
500	54258	54042
501	54367	53933
502	54492	53842
503	54636	53768
504	54728	53645
505	54836	53535
506	54957	53440
507	55051	53317
508	55168	53217
509	55290	53121
510	55380	52995
511	55520	52917
512	55657	52837
513	55757	52720
514	55878	52623
515	55993	52520
516	56106	52416
517	56220	52313
518	56336	52211
519	56443	52101
520	56562	52002
521	56685	51907
522	56795	51799
523	56908	51695
524	57042	51609
525	57150	51501
526	57263	51395
527	57378	51293
528	57481	51178
529	57602	51081
530	57713	50974
531	57813	50858
532	57913	50742
533	58039	50648
534	58143	50535
535	58271	50444
536	58384	50338
537	58501	50237
538	58612	50130
539	58730	50029
540	58863	49941
541	58971	49832
542	59080	49723
543	59189	49614
544	59296	49504
545	59401	49392
546	59498	49273
547	59607	49165
548	59705	49047
549	59804	48930
550	59922	48829
551	60054	48739
552	60152	48622
553	60246	48501
554	60331	48374
555	60438	48263
556	60542	48151
557	60666	48054
558	60760	47934
559	60880	47834
560	61001	47735
561	61087	47609
562	61182	47489
563	61303	47390
564	61393	47267
565	61504	47160
566	61607	47047
567	61697	46924
568	61793	46806
569	61926	46716
570	62040	46611
571	62151	46505
572	62267	46401
573	62378	46295
574	62501	46196
575	62605	46084
576	62729	45987
577	62846	45884
578	62930	45757
579	63041	45650
580	63150	45542
581	63275	45445
582	63361	45320
583	63476	45216
584	63582	45105
585	63696	45000
586	63793	44883
587	63902	44775
588	64014	44669
589	64129	44564
590	64226	44447
591	64331	44336
592	64449	44234
593	64559	44126
594	64679	44025
595	64798	43923
596	64936	43834
597	65063	43738
598	65185	43638
599	65285	43523
600	65383	43407
601	65480	43291
602	65589	43182
603	65689	43067
604	65803	42962
605	65914	42855
606	66022	42746
607	66144	42645
608	66259	42540
609	66375	42436
610	66485	42328
611	66588	42216
612	66693	42105
613	66800	41995
614	66949	41911
615	67069	41809
616	67188	41707
617	67286	41591
618	67398	41484
619	67491	41365
620	67590	41251
621	67713	41150
622	67845	41055
623	67969	40956
624	68075	40845
625	68190	40739
626	68267	40612
627	68356	40491
628	68471	40386
629	68572	40273
630	68694	40171
631	68813	40068
632	68934	39966
633	69056	39865
634	69152	39749
635	69268	39644
636	69375	39534
637	69470	39417
638	69560	39297
639	69667	39188
640	69765	39072
641	69871	38962
642	69968	38847
643	70090	38745
644	70210	38642
645	70347	38549
646	70463	38444
647	70566	38332
648	70653	38211
649	70751	38097
650	70861	37988
651	70965	37877
652	71075	37768
653	71178	37656
654	71292	37551
655	71405	37444
656	71547	37352
657	71675	37253
658	71783	37144
659	71880	37029
660	71992	36921
661	72108	36816
662	72242	36720
663	72356	36614
664	72489	36517
665	72614	36416
666	72705	36298
667	72812	36188
668	72935	36086
669	73013	35962
670	73123	35853
671	73226	35741
672	73353	35641
673	73453	35527
674	73588	35431
675	73697	35322
676	73812	35216
677	73910	35102
678	74021	34993
679	74151	34894
680	74271	34791
681	74374	34678
682	74482	34569
683	74597	34463
684	74706	34354
685	74800	34238
686	74920	34134
687	75036	34027
688	75137	33915
689	75239	33803
690	75358	33698
691	75463	33587
692	75577	33480
693	75731	33391
694	75843	33283
695	75940	33169
696	76047	33059
697	76151	32948
698	76266	32841
699	76350	32721
700	76459	32612
701	76572	32505
702	76662	32387
703	76801	32291
704	76912	32183
705	77028	32077
706	77137	31967
707	77240	31856
708	77362	31752
709	77479	31646
710	77586	31536
711	77685	31423
712	77807	31319
713	77939	31219
714	78038	31106
715	78141	30994
716	78258	30888
717	78370	30780
718	78493	30676
719	78584	30560
720	78691	30450
721	78799	30341
722	78903	30229
723	79025	30125
724	79133	30015
725	79255	29912
726	79360	29801
727	79470	29692
728	79584	29585
729	79690	29474
730	79790	29362
731	79890	29249
732	80028	29150
733	80127	29037
734	80238	28929
735	80340	28817
736	80451	28709
737	80578	28606
738	80694	28499
739	80805	28390
740	80906	28279
741	81020	28171
742	81125	28060
743	81242	27954
744	81291	27824
745	81401	27715
746	81524	27611
747	81633	27502
748	81752	27396
749	81888	27296
750	82010	27191
751	82136	27087
752	82243	26977
753	82347	26866
754	82445	26753
755	82567	26648
756	82669	26537
757	82781	26428
758	82881	26316
759	82968	26200
760	83075	26090
761	83214	25990
762	83331	25883
763	83457	25780
764	83576	25673
765	83689	25565
766	83816	25461
767	83945	25358
768	84042	25245
769	84192	25148
770	84310	25041
771	84414	24930
772	84510	24817
773	84611	24705
774	84720	24596
775	84827	24486
776	84951	24381
777	85037	24265
778	85149	24156
779	85263	24048
780	85377	23940
781	85483	23830
782	85592	23721
783	85694	23609
784	85802	23499
785	85926	23394
786	86029	23283
787	86122	23170
788	86228	23059
789	86343	22952
790	86432	22837
791	86539	22727
792	86643	22616
793	86735	22503
794	86843	22393
795	86946	22282
796	87066	22176
797	87170	22065
798	87273	21954
799	87396	21849
800	87512	21741
801	87609	21629
802	87718	21519
803	87815	21407
804	87935	21301
805	88026	21187
806	88133	21077
807	88228	20965
808	88308	20849
809	88423	20741
810	88540	20633
811	88675	20530
812	88793	20423
813	88902	20314
814	89021	20207
815	89137	20099
816	89252	19991
817	89369	19884
818	89468	19772
819	89588	19665
820	89710	19559
821	89821	19450
822	89929	19340
823	90049	19233
824	90164	19125
825	90258	19013
826	90354	18901
827	90465	18792
828	90581	18684
829	90712	18579
830	90825	18471
831	90928	18360
832	91019	18247
833	91140	18140
834	91254	18032
835	91371	17924
836	91474	17813
837	91588	17705
838	91726	17601
839	91849	17495
840	91970	17387
841	92093	17281
842	92191	17169
843	92336	17066
844	92446	16957
845	92550	16847
846	92669	16739
847	92780	16630
848	92892	16521
849	93018	16415
850	93125	16305
851	93240	16196
852	93345	16086
853	93464	15978
854	93574	15869
855	93696	15762
856	93827	15656
857	93921	15544
858	94050	15437
859	94163	15329
860	94263	15217
861	94374	15108
862	94483	14999
863	94609	14892
864	94720	14783
865	94840	14675
866	94952	14565
867	95069	14457
868	95192	14350
869	95307	14241
870	95420	14132
871	95525	14022
872	95635	13912
873	95747	13803
874	95866	13695
875	95975	13585
876	96099	13478
877	96220	13370
878	96331	13260
879	96446	13151
880	96544	13040
881	96667	12932
882	96782	12823
883	96910	12716
884	97027	12608
885	97131	12497
886	97254	12389
887	97356	12279
888	97470	12170
889	97601	12063
890	97702	11952
891	97810	11842
892	97928	11733
893	98039	11624
894	98151	11514
895	98251	11404
896	98381	11296
897	98487	11186
898	98609	11078
899	98727	10969
900	98827	10858
901	98935	10749
902	99057	10640
903	99167	10531
904	99285	10422
905	99393	10312
906	99488	10201
907	99596	10091
908	99710	9982
909	99828	9873
910	99946	9764
911	100088	9657
912	100225	9550
913	100408	9447
914	100548	9340
915	100670	9231
916	100801	9123
917	100936	9016
918	101072	8908
919	101189	8799
920	101289	8688
921	101401	8578
922	101497	8467
923	101613	8357
924	101723	8247
925	101842	8138
926	101966	8029
927	102071	7919
928	102196	7810
929	102329	7702
930	102422	7590
931	102510	7479
932	102610	7368
933	102709	7257
934	102829	7148
935	102980	7041
936	103130	6934
937	103252	6824
938	103371	6715
939	103500	6606
940	103612	6496
941	103776	6389
942	103913	6281
943	104068	6173
944	104235	6066
945	104395	5959
946	104586	5853
947	104716	5743
948	104873	5635
949	105047	5528
950	105254	5423
951	105361	5312
952	105472	5201
953	105616	5092
954	105727	4981
955	105854	4871
956	105960	4761
957	106085	4650
958	106201	4540
959	106399	4433
960	106554	4324
961	106702	4214
962	106951	4109
963	107137	4000
964	107305	3891
965	107438	3781
966	107582	3671
967	107751	3562
968	107861	3450
969	107993	3339
970	108112	3228
971	108228	3117
972	108366	3007
973	108499	2896
974	108604	2784
975	108723	2673
976	108836	2562
977	108956	2450
978	109076	2339
979	109239	2229
980	109388	2118
981	109533	2007
982	109626	1895
983	109753	1784
984	109871	1673
985	110010	1562
986	110141	1450
987	110231	1338
988	110339	1227
989	110461	1115
990	110592	1004
991	110703	892
992	110829	781
993	110931	669
994	111054	558
995	111159	446
996	111277	334
997	111373	223
998	111477	111
999	111562	0
